Primary ID,%5min,%10min,%15min,%30min,%60min,%120min,%180min,%240min
Paracetamol_N1_1,11.54586180264664,17.962212888242252,24.4138540149985,37.08166749573858,57.133372970443745,83.99019912090895,91.2723276685886,98.59234542021146
Paracetamol_N1_2,12.912253024270012,17.331253979844682,21.774406414400197,39.079958051061915,64.73933664142363,93.04083856778271,96.14822843409034,99.27003649102691
Paracetamol_N2_1,13.540663476212348,19.52570177594947,25.543572366750688,45.13689830677781,69.03466638542153,90.60239062625212,93.28943657345695,95.98864361189295
Paracetamol_N2_2,13.576247831852994,18.433083790819573,23.316483151785594,40.78267585146515,67.12952724985111,94.74653896590183,94.74653896590183,98.1513610548662
Paracetamol_N3_1,15.694458946069352,21.85914338829038,28.057591680531576,43.51742742820388,64.75386223059297,90.93254376706604,92.0050051377877,93.08064766629391
Paracetamol_N3_2,12.060278944181782,15.535543547893354,19.02974294634949,33.43967572782815,53.51007415625691,79.88669676646107,87.06007243605342,94.27085730003722
Paracetamol_N4_1,12.774620368110796,16.902846509426443,21.05361296200963,33.467346624432544,54.17583710810356,97.38321132172165,98.68946821755095,100.0
Paracetamol_N4_2,8.757594129436157,13.323093493146663,17.913686446096012,30.31438070777453,54.5303015367297,96.19183372388268,97.88630103280244,99.58723443724286
Paracetamol_N5_1,12.471591762955311,20.267393937854575,28.10612119916492,43.41965537166818,66.57947766011713,96.29269913705336,98.23717140331308,100.0
Paracetamol_N5_2,11.326171427193833,18.558701895653098,25.831063515744937,42.28670292738455,66.63792294509554,96.07530897463788,97.28456013698904,98.49759211968777
Paracetamol_N6_1,13.226456903885635,22.39855519900599,31.621201371787404,45.05606731309603,64.23340646178984,87.39537933132773,90.86030523751128,94.34181339735834
Paracetamol_N6_2,10.375352385233809,16.199444892749494,22.055573242825904,37.447162000178515,60.57315718016648,87.06909533165677,92.05122157202928,97.05836395680416
Paracetamol_N7_1,9.980941012882331,15.35069484106212,20.74997258121905,37.29050110475112,60.8157382368462,94.11847780029755,97.05252892015396,100.0
Paracetamol_N7_2,9.128025083585335,13.363005396654003,17.621231648959355,28.038695720897636,45.969356563244816,73.91184061791512,86.9209148887144,100.0
Paracetamol_N8_1,9.972746629062186,16.154276274983346,22.36983995144885,34.876295668134645,55.849802288864815,82.73805446200232,91.57078134173976,100.0
Paracetamol_N8_2,11.35417553311658,17.222619457531902,23.123315410677524,39.20053430412984,63.42433009001761,96.72640004621891,98.36014139972512,100.0
Paracetamol_N9_1,10.916556329747326,18.959849876687542,27.047491457026513,49.00212665151808,82.01540025026165,95.24184073634572,95.24184073634572,95.24184073634572
Paracetamol_N9_2,11.475660878328371,19.712013491083113,27.993769431289007,50.66215228346342,83.63519866174029,95.30968141412616,95.30968141412616,95.30968141412616
Paracetamol_N10_1,12.10953578903104,18.086028379794488,24.095349956068684,34.854528990365715,51.13612087118477,77.76386537950513,88.85231954900839,100.0
Paracetamol_N10_2,11.635202714979409,17.428831909187377,23.254288821057152,34.07115210474935,52.31918094516711,84.20501134057396,91.96496963990982,99.765463512511
Paracetamol_N11_1,13.5725691418504,22.782757998697058,32.04369566496009,54.90476706001836,86.30687570742467,98.6979499894265,98.76504701497664,98.82950628101052
Paracetamol_N11_2,12.739046576507716,21.273441864559377,29.854857279316985,50.87934957960782,82.9541962666862,96.6416604423465,96.7750683222632,96.90626827531572
Felodipine_N1_1,11.69895259332673,12.30100657210513,19.52978172144682,23.1582671158074,36.17502189979135,63.04791946454788,73.12178546814813,76.92431801917216
Felodipine_N1_2,8.847389716242732,13.72092888201061,17.549184197631668,26.16906833059244,44.75309842995278,72.60590760394837,89.89122463479296,90.76022478833173
Felodipine_N2_1,3.5438811483927415,4.962589363799542,6.770620817958538,12.240531570912482,23.06416678852228,44.776336206463085,77.76424333623437,77.90263629098968
Felodipine_N2_2,4.531475069127848,7.216289214264118,9.23721255737273,17.358798146957444,22.993977662946634,59.053188742248416,59.053188742248416,84.59704716498904
Felodipine_N3_1,3.9911906698079087,5.592975196908543,7.381686986281091,11.994960104046193,22.738299335956064,42.80484196771033,56.723107428352975,61.774171716317205
Felodipine_N3_2,3.32701811677959,3.982972362198302,5.6971925455928325,8.730526571723757,16.973027383148604,32.08778549681532,47.41348849717561,56.66885959788305
Felodipine_N4_1,8.400019668321965,14.634139274589606,16.92498537073263,31.271543132325128,66.6351839750441,91.97398494687263,92.37023053102946,94.36797060271972
Felodipine_N4_2,9.9361999350782,15.394772611732176,20.01009184704061,34.09283366384211,71.55865077111596,94.05846280665575,95.06759247780646,94.22374775842762
Felodipine_N5_1,4.149119770301763,7.712937777844843,10.671585419392576,20.67589722641961,41.72225398584074,72.95178819448186,91.249228957441,92.53237623577408
Felodipine_N5_2,5.2379819771120415,9.26474184285276,12.94711329183471,25.413086579456195,52.82130807040773,91.44877507740794,94.41502034521643,94.41502034521643
Felodipine_N6_1,3.993679818550209,4.9299451283515525,4.9299451283515525,15.832739810558374,31.89258929896428,44.76973609672484,49.2983020039077,49.76135811705237
Felodipine_N6_2,2.831871668872699,3.664544150261872,4.938202509437914,8.792744240767975,16.775630009431115,29.972817848319387,41.060572464674095,46.680674178718306
Felodipine_N7_1,6.204618276641165,8.180559546879335,10.922303333660787,19.179862585841995,39.994665606944174,82.1728421177185,93.35878704935746,90.69047761187366
Felodipine_N7_2,9.308861851814614,10.985504707404385,14.443822523788434,26.735013487583277,44.756670761637366,77.00956962718553,92.35392721733152,92.35392721733152
Felodipine_N8_1,4.583953722092127,7.418292949158742,10.458311125643757,16.725130481195997,28.813145157024636,46.0998038093681,57.01909742692138,98.89524353123902
Felodipine_N8_2,4.263433968337153,6.321916130551078,8.691567452585307,14.715403756998768,27.904936289029376,68.58349748201903,90.14591978903844,91.71367093209408
Felodipine_N9_1,2.547425892354819,3.9105411889729345,5.744227550999148,9.651692746556646,14.879318388864576,25.97448536183868,36.26508431164177,52.239447967327216
Felodipine_N9_2,3.668828057699845,4.551034222880207,5.924185306086355,9.5698748683061,16.605588810097018,29.900696998065182,48.63898355636804,60.74055173607249
