Primary ID,ST-Hardness (g),ST-Rigidity at 2% deformation (g),ST-Rigidity at 4% deformation (g),ST-Peak stress (N/mp),3PBT-Hardness (g),3PBT-Deformation at hardness (mm),3PBT-Total work (mJ),3PBT-Maximum force (N),3PBT-Peak stress (N/mp),3PBT-Flexural stress (g/mmp) (Samaro 2021 Prasad 2019),3PBT-Flexural strain (%),3PBT-Breaking distance (mm),3PBT-Stiffness (N/mm) (Hu 2022)
BCS4_S16,6405.0,1365.0,4395.0,21220132.0,1255.5,3.31,17.47,12.303899999999999,4381583.0,112.4716427857479,6.069216,3.31,3.7171903323262834
BCS4_S17,8990.0,2955.0,6415.0,41782836.0,1346.5,2.86,20.59,13.1957,4329395.0,109.9345245627483,5.408832,2.86,4.613881118881119
BCS4_S18,4680.0,955.0,2850.0,19283664.0,1172.5,2.12,13.28,11.490499999999999,3627223.0,90.12620874880072,4.090751999999999,2.12,5.42004716981132
BCS4_S19,6455.0,1265.0,4625.0,23532314.0,1179.5,2.52,16.58,11.559099999999999,3570044.0,88.01085798050862,4.910976,2.52,4.586944444444444
BCS4_S20,7550.0,2005.0,5810.0,26923712.0,1156.0,2.22,13.81,11.3288,3435299.0,83.75730100658957,4.36896,2.22,5.103063063063062
BCS4_S21,8820.0,2020.0,5890.0,30137510.0,1023.0,2.31,6.19,10.0254,3459380.0,90.21907517526982,4.257792,2.31,4.34
BCS4_S22,8590.0,1930.0,6095.0,29351612.0,809.5,1.13,5.63,7.9331,2655011.0,68.14585460045829,2.1153599999999995,1.13,7.020442477876107
BCS4_S23,10580.0,3015.0,7125.0,33042788.0,602.0,0.94,3.14,5.8995999999999995,2659281.0,79.24923330974286,1.516032,0.94,6.276170212765957
BCS4_S24,7620.0,1465.0,7150.0,25767818.0,903.5,1.14,5.39,8.8543,3558357.0,99.99875045325433,1.9480319999999995,1.14,7.766929824561404
BCS4_S25,9455.0,1775.0,6555.0,32648549.0,674.5,2.03,3.13,6.6101,2573769.0,71.0023385012948,3.5273279999999994,2.03,3.2562068965517246
BCS4_S31,11725.0,4320.0,9560.0,29711362.0,1578.5,2.27,18.82,15.469299999999999,5450633.0,143.6515137023001,4.140479999999999,2.27,6.814669603524228
BCS4_S32,11485.0,4065.0,8915.0,33126288.0,1218.5,3.32,18.29,11.9413,4917450.0,139.512767341853,5.609472,3.32,3.596777108433735
BCS4_S33,11790.0,3895.0,8965.0,33708572.0,1794.0,4.1,36.29,17.5812,6194764.0,163.26310774908228,7.4784,4.1,4.28809756097561
BCS4_S34,7505.0,2005.0,5185.0,20673852.0,1328.5,2.38,17.29,13.0193,5129187.0,142.19046246057331,4.11264,2.38,5.470294117647059
BCS4_S35,6045.0,2545.0,4500.0,16937486.0,2028.0,2.95,33.21,19.874399999999998,7561934.0,206.5575647494187,5.18256,2.95,6.7370847457627105
BCS4_S36,8925.0,2630.0,6935.0,24111392.0,1023.5,1.41,7.65,10.0303,4080125.0,115.2111392731321,2.3958720000000002,1.41,7.113687943262412
BCS4_S37,10970.0,2050.0,7705.0,29636076.0,505.0,1.22,3.4,4.949,2797943.0,93.39938664779429,1.7568,1.22,4.05655737704918
BCS4_S38,9390.0,1815.0,6255.0,22963702.0,1230.0,1.11,7.73,12.054,3622276.0,87.8273691229537,2.1951360000000006,1.11,10.859459459459458
BCS4_S39,12835.0,3260.0,9430.0,32191396.0,1446.0,1.11,8.81,14.1708,3664190.0,82.49655116353108,2.3656320000000006,1.11,12.766486486486485
BCS4_S40,12050.0,3430.0,8955.0,32825036.0,1594.5,1.28,11.86,15.6261,4695707.0,113.85426021670703,2.531328,1.28,12.207890625
BCS4_S41,9565.0,2765.0,6790.0,29590096.0,670.5,1.04,4.15,6.5709,2365237.0,62.98710642457329,1.8769919999999998,1.04,6.318173076923077
BCS4_S42,6040.0,1910.0,5385.0,20856396.0,919.0,1.25,6.03,9.0062,3140178.0,82.3269133573097,2.292,1.25,7.20496
BCS4_S43,4505.0,1555.0,3485.0,16608631.0,777.5,1.43,5.29,7.6194999999999995,2932566.0,80.5031097497083,2.498496,1.43,5.328321678321678
